Name,Longitude,Main_Cuisine,Latitude,Address,District_Code,Cuisine,Type_Code,Info_Code,Exp_Date,Location_Tag,Sub_Cuisine,Price_Range,YYYYMM
天毅金燕窩莊,114.17008,Mainland China,22.30804,"SHOP NO. 2, G/F, WING ON BUILDING, NOS. 208,208A,210 & 212 SHANGHAI STREET & NO. 14 PAK HOI STREET, KOWLOON",61,Guangdong,RR,,2019-10-26,Yau Ma Tei,Dessert,$51-100,201901
天河食坊,114.23329,,22.42479,"SHOP NO 001, G/F, SHOPPING CENTRE, FU FAI GARDEN, 28 ON SHING STREET, MA ON SHAN, SHA TIN, NEW TERRITORIES",97,,RR,,2019-09-20,,,,201901
天然居,114.15917,Mainland China,22.33569,"3/F, WEST COAST INTERNATIONAL BLDG, 290-296 UN CHAU STREET, SHAM SHUI PO, KOWLOON",63,Guangdong,RL,,2019-05-25,Cheung Sha Wan,Hong Kong Style,$101-200,201901
天然甜品,114.02782,Hong Kong Style,22.20604,"G/F., NO. 9 TAI HING TAI ROAD, CHEUNG CHAU, HONG KONG",17,,RL,,2019-05-27,Cheung Chau,Dessert,Below $50,201901
天發粥麵小廚,114.22838,Mainland China,22.32487,"FOOD STALL NO. 3-4, SHUN TIN ESTATE, KWUN TONG, KOWLOON",51,"Guangdong, Noodles/Rice Noodles",RL,,2019-03-14,Kwun Tong,Noodles/Rice Noodles,Below $50,201901
天聚源,113.97453,Hong Kong Style,22.38822,"COOKED FOOD STALL NO. 1-4, MARKET 2, YAU OI ESTATE, TUEN MUN, NEW TERRITORIES",93,Seafood,RL,,2019-07-31,Prince Edward,Seafood,$201-400,201901
天虹,114.1417,Hong Kong Style,22.28334,"G/F, 51 LYTTELTON ROAD, WESTERN, HONG KONG",18,,RL,,2019-06-30,Cheung Chau,Dessert,Below $50,201901
天記牛腩,114.16955,Mainland China,22.30601,"G/F, 118 SHANGHAI STREET, KOWLOON",61,"Guangdong, Noodles/Rice Noodles",RL,,2019-12-16,Central,Noodles/Rice Noodles,$51-100,201901
天誠冰室,114.21326,Hong Kong Style,22.32974,"SHOP 503, 5/F, CHOI TAK SHOPPING CENTRE, CHOI TAK ESTATE, KWUN TONG, KOWLOON",51,Tea Restaurant,RR,,2019-11-22,Ngau Tau Kok,Tea Restaurant,Below $50,201901
天誠冰室,114.21511,Hong Kong Style,22.32628,"SHOP NOS. 30-33, G/F, KAR WO YUEN, 15-19 NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",51,Tea Restaurant,RL,,2019-04-06,Ngau Tau Kok,Tea Restaurant,Below $50,201901
天誠潮菜,114.23832,,22.29473,"SHOP NO G3 & G4, G/F, KA KWAI ARCADE, YAU TONG CENTRE, 9-11 KA WING STREET, YAU TONG, KOWLOON",51,,RL,,2019-07-08,,,,201901
天賜素齋,114.00346,Mainland China,22.45082,"SHOP NO 20, 2/F, COMMERCIAL COMPLEX, WO CHE ESTATE, SHA TIN, NEW TERRITORIES",97,Guangdong,RL,,2019-06-30,Sha Tin,Vegetarian,Below $50,201901
天香樓,114.17544,Mainland China,22.30263,"G/F, 18C AUSTIN AVENUE, TSIM SHA TSUI, KOWLOON",61,,RL,,2019-07-20,Tsim Sha Tsui,Fine Dried Seafood,$401-800,201901
天馬,114.20256,Mainland China,22.34657,"G/F, 22G YUK WAH CRESCENT, TSZ WAN SHAN, KOWLOON",53,Guangdong,RL,,2019-06-30,Mong Kok,,$51-100,201901
天鴻燒鵝飯店,114.03142,Hong Kong Style,22.44241,"SHOP D, G/F, YAN YEE BUILDING, KIN YIP STREET, YUEN LONG, NEW TERRITORIES",94,Chinese BBQ,RL,,2019-03-15,Yuen Long,Chinese BBQ,$51-100,201901
天龍樓,114.15621,Mainland China,22.2477,"SHOP C, G/F, 58-62 ABERDEEN OLD MAIN STREET, ABERDEEN, SOUTHERN, HONG KONG",15,Stir-Fry,RL,,2019-11-20,Aberdeen,Stir-Fry,$201-400,201901
太上漁村海鮮火鍋,114.16802,Hong Kong Style,22.32703,"SHOP B & C, G/F, 197-209 SAI YEUNG CHOI STREET NORTH, KOWLOON",63,Seafood,RL,,2019-12-05,Prince Edward,Seafood,$51-100,201901
太和堂,114.24024,Hong Kong Style,22.26429,"SHOP NO. 21, G/F, GOLDMINE BUILDING, 345 CHAI WAN ROAD, CHAI WAN, HONG KONG",11,,RL,,2019-03-22,Chai Wan,Herbal Tea,Below $50,201901
太和麵食,114.24024,Hong Kong Style,22.26429,"SHOP NO. 18, G/F, GOLD MINE BLDG, 345 CHAI WAN ROAD, HONG KONG",11,Noodles/Rice Noodles,RR,,2019-07-20,Chai Wan,Noodles/Rice Noodles,Below $50,201901
太好記美食,113.9958,,22.43271,"SHOP 23, G/F, TAK CHEUNG BUILDING, HUNG SHUI KIU MAIN STREET, HUNG SHUI KIU, YUEN LONG, NEW TERRITORIES",94,,RR,,2019-01-15,,,,201901
太子小廚餐廳,114.1353,Hong Kong Style,22.36658,"SHOPS A1-B1, G/F, WAI YIN BUILDING, 432-436 CASTLE PEAK ROAD, KWAI CHUNG, NEW TERRITORIES",91,Tea Restaurant,RL,,2019-12-16,Kwai Chung,Tea Restaurant,Below $50,201901
太子燒味飯店,114.16511,Mainland China,22.4477,"SHOP B, G/F, SHUN ON BUILDING, 2A-2C WAI YI STREET, TAI PO, NEW TERRITORIES",95,Guangdong,RL,,2019-02-21,Prince Edward,,$51-100,201901
太子燒味餐廳,114.19708,,22.3731,"SHOP NO. 205, 2/F, SHUI CHUEN O PLAZA, SHUI CHUEN O ESTATE, SHA TIN, NEW TERRITORIES",97,,RL,,2019-12-14,,,,201901
太子粉麵,114.0977,Hong Kong Style,22.35484,"STALL NOS. 37-39, LG4,  CHEUNG HANG MARKET, CHEUNG HANG SHOPPING CENTRE, CHEUNG HANG ESTATE, TSING YI, NEW TERRITORIES",91,Noodles/Rice Noodles,RR,,2019-11-28,Tsing Yi,Noodles/Rice Noodles,$51-100,201901
太子餐廳,114.16239,Western,22.32533,"SHOP 9, 10 & 11, G/F, SHINING HEIGHTS, 83 SYCAMORE STREET, TAI KOK TSUI, KOWLOON",62,"Western, Seafood",RL,,2019-10-25,Prince Edward,Seafood,$51-100,201901
太平燒味,114.1964,Hong Kong Style,22.29096,"SHOP 4, G/F, 11-13 NORTH POINT ROAD, HONG KONG",11,Noodles/Rice Noodles,RL,,2019-04-13,North Point,Noodles/Rice Noodles,Below $50,201901
太平飯店,114.20046,,22.2922,"SHOP D, G/F., JAVA COMMERCIAL CENTRE, 124-132 JAVA ROAD, NORTH POINT, HONG KONG",11,,RL,,2019-07-26,,,,201901
太平館,114.14767,Western,22.28542,"38-40 (1/F), 40(G/F), GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON",61,Western,RL,,2019-06-30,Causeway Bay,Nostalgic,$201-400,201901
太平館餐廳,114.18789,Western,22.2793,"G/F, 6 PAK SHA ROAD, CAUSEWAY BAY, WAN CHAI, HONG KONG",12,Western,RL,,2019-06-30,Tsim Sha Tsui,Nostalgic,$201-400,201901
太湖海鮮城,114.18209,Mainland China,22.28055,"9/F., CAUSEWAY BAY PLAZA 2, 463-483 LOCKHART ROAD, CAUSEWAY BAY, HONG KONG",12,"Guangdong, Seafood",RL,,2019-12-29,Causeway Bay,Seafood,$101-200,201901
太湖海鮮城,114.22054,Mainland China,22.2846,"SHOP A, G/F & M/F, ELLEN BLDG, 192-198 SHAU KEI WAN ROAD, HONG KONG",11,"Guangdong, Seafood",RL,,2019-06-30,Causeway Bay,Seafood,$101-200,201901
太爺雞,114.23034,South-east Asia,22.28044,"SHOP D, G/F., TUNG WONG HOUSE, 14-22 SHAUKEIWAN MAIN STREET EAST, SHAU KEI WAN, HONG KONG",11,Thai,RL,,2019-10-21,Aberdeen,,$51-100,201901
太興,114.22818,Hong Kong Style,22.30506,"SHOP NOS. 21-24 & 27, G/F, CENTRE DE LAGUNA, PHASE 3, LAGUNA CITY, NO.93 CHA KWO LING ROAD, KOWLOON",51,Chinese BBQ,RL,,2019-04-06,Sha Tin,Chinese BBQ,$51-100,201901
奇味小厨,114.20908,Mainland China,22.28957,"G/F., LIDO APARTMENT, NO. 860 KING'S ROAD, NORTH POINT, HONG KONG",11,Guangdong,RL,,2019-08-05,Hung Hom,Hot Pot,$101-200,201901
奇興,114.20775,Mainland China,22.32284,"SHOP G3, G/F, NAN FUNG COMMERCIAL CENTRE, 19 LAM LOK STREET, KOWLOON BAY, KOWLOON",51,"Guangdong, Chinese BBQ",RL,,2020-02-06,Kowloon Bay,Chinese BBQ,$101-200,201901
奇興茶餐廳,114.18733,Hong Kong Style,22.38115,"SHOP NO 3, G/F, WAI WAH CENTRE, 11-17 SHATIN CENTRE STREET, SHA TIN, NEW TERRITORIES",97,Tea Restaurant,RR,,2019-06-30,Sha Tin,Tea Restaurant,Below $50,201901
奇華茶室,114.17177,Hong Kong Style,22.2752,"1/F., 186-190 QUEEN'S ROAD EAST, WAN CHAI, HONG KONG",12,Western,RL,,2019-05-07,Wan Chai,Western,$51-100,201901
奇香冰室,114.1882,Hong Kong Style,22.3163,"G/F, 26B VICTORY AVE., HOMANTIN, KOWLOON CITY, KOWLOON",52,Tea Restaurant,RR,,2019-06-30,Ho Man Tin,Tea Restaurant,Below $50,201901
奇香鷄,114.27168,Mainland China,22.38101,"G/F & COCKLOFT, 16 WAN KING PATH, SAI KUNG, NEW TERRITORIES",98,,RL,,2019-04-07,Shek Kip Mei,,$101-200,201901
契爺廚房,114.16627,,22.32795,"SHOP 4, G/F, KWONG HING BUILDING, NO. 54 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",63,,RR,,2019-06-09,,,,201901
奧斯餐飲有限公司,114.17877,Western,22.37691,"SHOP A, G/F, HING WAN HOUSE, 74-76 CHIK CHUEN STREET, TAI WAI, SHA TIN, NEW TERRITORIES",97,Western,RL,#G#H,2019-11-17,Mong Kok,Western,$201-400,201901
奧爾餐廳,114.18822,Hong Kong Style,22.31634,"G/F, 28 PAK TAI STREET, TOKWAWAN, KOWLOON CITY, KOWLOON",52,,RL,,2019-10-28,Cheung Sha Wan,,$51-100,201901
女人街燉湯花膠麵,114.17134,Hong Kong Style,22.31644,"SHOP L, G/F, HUNG KWONG BUILDING, 2A-2P TUNG CHOI STREET, MONG KOK, KOWLOON",62,,RL,,2019-12-04,Fanling,Ramen,$51-100,201901
女人街食飯公司,114.17098,Hong Kong Style,22.31626,"SHOP 1B, 1/F, WITTY COMMERCIAL BUILDING, NOS. 1A-1J TUNG CHOI STREET, MONG KOK, KOWLOON",62,Stir-Fry,RL,#G#H,2019-07-01,Mong Kok,Stir-Fry,$101-200,201901
女皇麵店,114.17578,Hong Kong Style,22.3024,"SHOP A-B, G/F, 86-96 KIMBERLEY ROAD, TSIM SHA TSUI, KOWLOON",61,Noodles/Rice Noodles,RR,,2019-01-11,Sai Wan Ho,Noodles/Rice Noodles,$51-100,201901
好三興餐廰小廚,114.18789,Western,22.31412,"SHOP A, G/F, 2-10 NGAN HON STREET, TO KWA WAN, KOWLOON",52,,RL,,2019-07-01,Causeway Bay,Pizza,$201-400,201901
好之味,114.10884,Japanese,22.37863,"SHOP S1C, UG/F, TSUEN WAN CENTRE, TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",92,Japanese,RR,,2019-12-04,Mong Kok,Snack Shop & Deli,Below $50,201901
好到底,114.18557,Hong Kong Style,22.2482,"G/F., C/L AND 1/F., 67 FAU CHOI STREET, YUEN LONG, NEW TERRITORIES",94,Noodles/Rice Noodles,RL,,2019-06-30,Yuen Long,Noodles/Rice Noodles,Below $50,201901
好友台迎,114.02321,Western,22.44645,"SHOP NO. 8, G/F, KUEN YICK BUILDING, 18 CHUN YIN SQUARE, YUEN LONG, NEW TERRITORIES",94,"Western, Bakery",RR,,2019-04-19,Mong Kok,Bakery,Below $50,201901
好味園茶餐廳,114.18855,Hong Kong Style,22.32186,"SHOP B, G/F, RICH COURT, 71-73 PAK TAI STREET, TOKWAWAN, KOWLOON CITY, KOWLOON",52,Tea Restaurant,RL,,2019-11-20,To Kwa Wan,Tea Restaurant,Below $50,201901
好味屋,114.21105,Hong Kong Style,22.28774,"SHOP NO. 3, G/F, HOI KWONG COURT, 13-15 HOI KWONG STREET, QUARRY BAY, HONG KONG",11,Tea Restaurant,RL,,2019-03-18,Quarry Bay,Tea Restaurant,Below $50,201901
好味屋餐廳小廚,114.18839,,22.31467,"G/F, NO. 29 PAK TAI STREET, TO KWA WAN, KOWLOON",52,,RL,,2019-03-03,,,,201901
好味皇,114.13495,Hong Kong Style,22.36766,"BLOCK B & C, G/F, 464 CASTLE PEAK ROAD, KWAI CHUNG, NEW TERRITORIES",91,,RL,,2019-06-30,Sham Shui Po,Hot Pot,Below $50,201901
好味皇茶餐廳,114.16636,Hong Kong Style,22.32893,"G/F, 5 FUK WING ST, SHAM SHUI PO, KOWLOON",63,,RL,,2019-10-28,Sham Shui Po,Hot Pot,Below $50,201901
好味軒餐廳,114.16572,Hong Kong Style,22.32423,"G/F, NO. 81 LAI CHI KOK ROAD, SHAM SHUI PO, KOWLOON",62,Tea Restaurant,RL,,2019-06-02,Prince Edward,Tea Restaurant,Below $50,201901
好味道,114.16814,,22.44931,"SHOP NO. 222B, PLOVER COVE SHOPPING ARACDE, 3 PLOVER COVE ROAD, TAI PO, NEW TERRITORIES",95,,RR,,2019-02-24,,,,201901
好地方餐廳,114.13878,Western,22.36668,"SHOP NOS. 8 & 9 OF PORTION B,LOWER GROUND FLOOR, VICTORY GARDEN, 153 TAI LOONG STREET, KWAI CHUNG, NEW TERRITORIES",91,Western,RL,,2019-11-13,Jordan,Steak House,$101-200,201901
好好上海小館,114.17259,,22.30381,"UNIT E2, G/F, 105 AUSTIN ROAD, TSIM SHA TSUI, KOWLOON",61,,RL,,2019-06-30,,,,201901
好好甜品,114.16495,Hong Kong Style,22.45307,"SHOP B, G/F, MERIT PLACE, 5 MEI SUN LANE, TAI PO, NEW TERRITORIES",95,,RR,,2019-09-16,Tai Wo,Dessert,Below $50,201901
好好肥牛雞煲店,114.16983,Mainland China,22.30377,"SHOP D, E, G/F, WAH CHI MANSION, 286-298 TEMPLE STREET, KOWLOON",61,Guangdong,RL,,2019-04-29,Jordan,Hot Pot,$201-400,201901
好好茶餐廳,114.17162,Mainland China,22.31592,"SHOP 2, G/F, 1L-1R FA YUEN ST, MONG KOK, KOWLOON",62,Guangdong,RL,,2019-06-30,Mong Kok,Hong Kong Style,$51-100,201901
好姐美食,114.18859,,22.31704,"G/F, 48 BULKELEY STREET, KOWLOON CITY, KOWLOON",52,,RR,,2019-12-02,,,,201901
好姨美食,114.03368,,22.44199,"SHOP 51, G/F, HO SHUN KING BUILDING, 3 FUNG YAU STREET SOUTH, YUEN LONG, NEW TERRITORIES",94,,RL,,2019-03-31,,,,201901
好媽媽台灣館,114.16582,Western,22.32473,"G/F, 100 LAI CHI KOK ROAD, MONG KOK, KOWLOON",62,Western,RL,,2019-11-04,Cheung Sha Wan,Coffee Shop,$51-100,201901
好客山東,114.15121,Mainland China,22.28547,"G/F., 17 BURD STREET, SHEUNG WAN, HONG KONG",18,,RL,,2019-07-16,Sheung Wan,Wonton/Dumpling,Below $50,201901
